Month,Period,E-,E+,M-,M+,P-,P+,T-,T+,AE-,AE+,AM-,AM+
Jan 2018,28 Jan 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Feb 2018,25 Feb 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Mar 2018,25 Mar 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Apr 2018,29 Apr 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
May 2018,27 May 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Jun 2018,24 Jun 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Jul 2018,29 Jul 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Aug 2018,26 Aug 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Sep 2018,30 Sep 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Oct 2018,28 Oct 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Nov 2018,25 Nov 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Dec 2018,30 Dec 2018,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Jan 2019,27 Jan 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Feb 2019,24 Feb 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Mar 2019,31 Mar 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Apr 2019,28 Apr 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
May 2019,26 May 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Jun 2019,30 Jun 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Jul 2019,28 Jul 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Aug 2019,25 Aug 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Sep 2019,29 Sep 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Oct 2019,27 Oct 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Nov 2019,24 Nov 2019,1450,1550,1450,1550,1450,1550,1450,1550,,,,
Dec 2019,29 Dec 2019,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Jan 2020,26 Jan 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Feb 2020,23 Feb 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Mar 2020,29 Mar 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Apr 2020,26 Apr 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
May 2020,31 May 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Jun 2020,28 Jun 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Jul 2020,26 Jul 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Aug 2020,30 Aug 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Sep 2020,27 Sep 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Oct 2020,25 Oct 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Nov 2020,29 Nov 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
Dec 2020,27 Dec 2020,1750,1850,1750,1850,1850,1850,1750,1850,2500,2500,2500,2500
